[2025-10-26 12:53:13] ==================================================
[2025-10-26 12:53:13] 나라장터 복수예가입찰 데이터 전처리 V2 시작
[2025-10-26 12:53:13] 원본 디렉토리: /mnt/a/25/data
[2025-10-26 12:53:13] 출력 디렉토리: /mnt/a/25/data전처리완료
[2025-10-26 12:53:13] ==================================================
[2025-10-26 12:53:13] 발견된 Excel 파일 수: 937
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20240912751-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20240915405-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20240915808-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20240919384-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20240924313-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20240924411-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20241002577-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20241025309-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20241027356-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20241103019-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20241104775-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20241109069-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20241113091-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20241117449-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20241122198-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20241127152-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20241133474-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20241134476-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20241202476-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20241213804-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 20241235379-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: 2503112-00.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00599590-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00608837-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00611985-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00612785-001.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00621488-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00631004-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00632345-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00632408-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00637500-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00655623-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00655669-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00667015-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00667911-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00670268-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00672282-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00677502-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00684038-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00692286-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00696278-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00696420-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00710969-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00715151-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00734263-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00740970-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00767898-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00778877-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00785385-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00813733-001.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00818235-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00818266-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00844940-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00893291-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00907767-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00932014-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00965392-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00988038-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK00995541-000.xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK01012846-000 (1).xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK01064844-000 (1).xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK01064844-000 (2).xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK01088062-000 (1).xlsx
[2025-10-26 12:53:14] 쌍이 없는 파일 제외: R25BK01088062-000 (2).xlsx
[2025-10-26 12:53:14] 처리할 공고 수: 400
[2025-10-26 12:53:14] 
[1/400] 처리 중: 2023-21331
[2025-10-26 12:53:14] 이상치 발견 - 기초대비사정률: 2.11375
[2025-10-26 12:53:14] 이상치 발견 - 기초대비사정률: 2.57653
[2025-10-26 12:53:14] 이상치 발견 - 기초대비사정률: 2.61184
[2025-10-26 12:53:14] 이상치 발견 - 기초대비사정률: 12.28743
[2025-10-26 12:53:14] ✓ 저장 완료: 2023-21331_통합.xlsx
[2025-10-26 12:53:14] 
[2/400] 처리 중: 2023-24458
[2025-10-26 12:53:14] 이상치 발견 - 기초대비사정률: 2.24174
[2025-10-26 12:53:14] 이상치 발견 - 기초대비사정률: 3.12335
[2025-10-26 12:53:14] 이상치 발견 - 기초대비사정률: -6.88302
[2025-10-26 12:53:14] ✓ 저장 완료: 2023-24458_통합.xlsx
[2025-10-26 12:53:14] 
[3/400] 처리 중: 20230905571-00
[2025-10-26 12:53:14] 이상치 발견 - 기초대비사정률: 2.87456
[2025-10-26 12:53:14] 이상치 발견 - 기초대비사정률: 8.52644
[2025-10-26 12:53:14] ✓ 저장 완료: 20230905571-00_통합.xlsx
[2025-10-26 12:53:14] 
[4/400] 처리 중: 20230911853-00
[2025-10-26 12:53:14] ✓ 저장 완료: 20230911853-00_통합.xlsx
[2025-10-26 12:53:14] 
[5/400] 처리 중: 20230913218-00
[2025-10-26 12:53:14] ✓ 저장 완료: 20230913218-00_통합.xlsx
[2025-10-26 12:53:14] 
[6/400] 처리 중: 20230917081-01
[2025-10-26 12:53:14] 이상치 발견 - 기초대비사정률: 2.19999
[2025-10-26 12:53:14] 이상치 발견 - 기초대비사정률: 2.3695
[2025-10-26 12:53:14] ✓ 저장 완료: 20230917081-01_통합.xlsx
[2025-10-26 12:53:14] 
[7/400] 처리 중: 20230917823-00
[2025-10-26 12:53:14] 참여업체 5개 미만: 20230917823-00.xlsx
[2025-10-26 12:53:14] ✗ 처리 실패: 20230917823-00
[2025-10-26 12:53:14] 
[8/400] 처리 중: 20230919449-01
[2025-10-26 12:53:14] 이상치 발견 - 기초대비사정률: 2.36834
[2025-10-26 12:53:14] 이상치 발견 - 기초대비사정률: -2.16625
[2025-10-26 12:53:14] ✓ 저장 완료: 20230919449-01_통합.xlsx
[2025-10-26 12:53:14] 
[9/400] 처리 중: 20230919451-01
[2025-10-26 12:53:15] ✓ 저장 완료: 20230919451-01_통합.xlsx
[2025-10-26 12:53:15] 
[10/400] 처리 중: 20230919489-00
[2025-10-26 12:53:15] 이상치 발견 - 기초대비사정률: 2.36857
[2025-10-26 12:53:15] ✓ 저장 완료: 20230919489-00_통합.xlsx
[2025-10-26 12:53:15] 
[11/400] 처리 중: 20230920191-00
[2025-10-26 12:53:15] 참여업체 5개 미만: 20230920191-00.xlsx
[2025-10-26 12:53:15] ✗ 처리 실패: 20230920191-00
[2025-10-26 12:53:15] 
[12/400] 처리 중: 20230920668-00
[2025-10-26 12:53:15] ✓ 저장 완료: 20230920668-00_통합.xlsx
[2025-10-26 12:53:15] 
[13/400] 처리 중: 20230920708-00
[2025-10-26 12:53:15] ✓ 저장 완료: 20230920708-00_통합.xlsx
[2025-10-26 12:53:15] 
[14/400] 처리 중: 20230920847-00
[2025-10-26 12:53:15] 이상치 발견 - 기초대비사정률: -20.85084
[2025-10-26 12:53:15] ✓ 저장 완료: 20230920847-00_통합.xlsx
[2025-10-26 12:53:15] 
[15/400] 처리 중: 20230921139-00
[2025-10-26 12:53:15] ✓ 저장 완료: 20230921139-00_통합.xlsx
[2025-10-26 12:53:15] 
[16/400] 처리 중: 20230921631-00
[2025-10-26 12:53:15] 참여업체 5개 미만: 20230921631-00.xlsx
[2025-10-26 12:53:15] ✗ 처리 실패: 20230921631-00
[2025-10-26 12:53:15] 
[17/400] 처리 중: 20230924296-00
[2025-10-26 12:53:15] ✓ 저장 완료: 20230924296-00_통합.xlsx
[2025-10-26 12:53:15] 
[18/400] 처리 중: 20230926823-00
[2025-10-26 12:53:15] 참여업체 5개 미만: 20230926823-00.xlsx
[2025-10-26 12:53:15] ✗ 처리 실패: 20230926823-00
[2025-10-26 12:53:15] 
[19/400] 처리 중: 20230927418-00
[2025-10-26 12:53:15] ✓ 저장 완료: 20230927418-00_통합.xlsx
[2025-10-26 12:53:15] 
[20/400] 처리 중: 20230930580-00
[2025-10-26 12:53:15] 이상치 발견 - 기초대비사정률: 2.0477
[2025-10-26 12:53:15] 이상치 발견 - 기초대비사정률: 10.22727
[2025-10-26 12:53:15] ✓ 저장 완료: 20230930580-00_통합.xlsx
[2025-10-26 12:53:15] 
[21/400] 처리 중: 20230931502-00
[2025-10-26 12:53:15] 참여업체 5개 미만: 20230931502-00.xlsx
[2025-10-26 12:53:15] ✗ 처리 실패: 20230931502-00
[2025-10-26 12:53:15] 
[22/400] 처리 중: 20231005355-00
[2025-10-26 12:53:15] 이상치 발견 - 기초대비사정률: 2.36854
[2025-10-26 12:53:15] 이상치 발견 - 기초대비사정률: 4.80038
[2025-10-26 12:53:15] 이상치 발견 - 기초대비사정률: 35.452
[2025-10-26 12:53:15] ✓ 저장 완료: 20231005355-00_통합.xlsx
[2025-10-26 12:53:15] 
[23/400] 처리 중: 20231008715-00
[2025-10-26 12:53:15] ✓ 저장 완료: 20231008715-00_통합.xlsx
[2025-10-26 12:53:15] 
[24/400] 처리 중: 20231009841-00
[2025-10-26 12:53:16] ✓ 저장 완료: 20231009841-00_통합.xlsx
[2025-10-26 12:53:16] 
[25/400] 처리 중: 20231014120-00
[2025-10-26 12:53:16] ✓ 저장 완료: 20231014120-00_통합.xlsx
[2025-10-26 12:53:16] 
[26/400] 처리 중: 20231017720-00
[2025-10-26 12:53:16] ✓ 저장 완료: 20231017720-00_통합.xlsx
[2025-10-26 12:53:16] 
[27/400] 처리 중: 20231017759-00
[2025-10-26 12:53:16] ✓ 저장 완료: 20231017759-00_통합.xlsx
[2025-10-26 12:53:16] 
[28/400] 처리 중: 20231018911-00
[2025-10-26 12:53:16] 이상치 발견 - 기초대비사정률: 2.64422
[2025-10-26 12:53:16] 이상치 발견 - 기초대비사정률: 5.34956
[2025-10-26 12:53:16] 이상치 발견 - 기초대비사정률: 15.69256
[2025-10-26 12:53:16] ✓ 저장 완료: 20231018911-00_통합.xlsx
[2025-10-26 12:53:16] 
[29/400] 처리 중: 20231025318-00
[2025-10-26 12:53:16] ✓ 저장 완료: 20231025318-00_통합.xlsx
[2025-10-26 12:53:16] 
[30/400] 처리 중: 20231026595-00
[2025-10-26 12:53:16] 참여업체 5개 미만: 20231026595-00.xlsx
[2025-10-26 12:53:16] ✗ 처리 실패: 20231026595-00
[2025-10-26 12:53:16] 
[31/400] 처리 중: 20231027065-00
[2025-10-26 12:53:16] 이상치 발견 - 기초대비사정률: 19.28429
[2025-10-26 12:53:16] ✓ 저장 완료: 20231027065-00_통합.xlsx
[2025-10-26 12:53:16] 
[32/400] 처리 중: 20231029344-00
[2025-10-26 12:53:16] 참여업체 5개 미만: 20231029344-00.xlsx
[2025-10-26 12:53:16] ✗ 처리 실패: 20231029344-00
[2025-10-26 12:53:16] 
[33/400] 처리 중: 20231031512-00
[2025-10-26 12:53:16] 이상치 발견 - 기초대비사정률: 2.07644
[2025-10-26 12:53:16] 이상치 발견 - 기초대비사정률: 3.02342
[2025-10-26 12:53:16] ✓ 저장 완료: 20231031512-00_통합.xlsx
[2025-10-26 12:53:16] 
[34/400] 처리 중: 20231032164-00
[2025-10-26 12:53:26] 이상치 발견 - 기초대비사정률: 2.10884
[2025-10-26 12:53:26] ✓ 저장 완료: 20231032164-00_통합.xlsx
[2025-10-26 12:53:26] 
[35/400] 처리 중: 20231032173-00
[2025-10-26 12:53:26] 이상치 발견 - 기초대비사정률: 2.41605
[2025-10-26 12:53:26] 이상치 발견 - 기초대비사정률: 2.45505
[2025-10-26 12:53:26] ✓ 저장 완료: 20231032173-00_통합.xlsx
[2025-10-26 12:53:26] 
[36/400] 처리 중: 20231032190-00
[2025-10-26 12:53:26] 이상치 발견 - 기초대비사정률: 2.41612
[2025-10-26 12:53:26] 이상치 발견 - 기초대비사정률: 2.45525
[2025-10-26 12:53:26] ✓ 저장 완료: 20231032190-00_통합.xlsx
[2025-10-26 12:53:26] 
[37/400] 처리 중: 20231034382-00
[2025-10-26 12:53:16] ✓ 저장 완료: 20231034382-00_통합.xlsx
[2025-10-26 12:53:16] 
[38/400] 처리 중: 20231036550-00
[2025-10-26 12:53:16] ✓ 저장 완료: 20231036550-00_통합.xlsx
[2025-10-26 12:53:16] 
[39/400] 처리 중: 20231038524-00
[2025-10-26 12:53:16] ✓ 저장 완료: 20231038524-00_통합.xlsx
[2025-10-26 12:53:16] 
[40/400] 처리 중: 20231106729-00
[2025-10-26 12:53:16] ✓ 저장 완료: 20231106729-00_통합.xlsx
[2025-10-26 12:53:16] 
[41/400] 처리 중: 20231106764-00
[2025-10-26 12:53:16] ✓ 저장 완료: 20231106764-00_통합.xlsx
[2025-10-26 12:53:16] 
[42/400] 처리 중: 20231106825-00
[2025-10-26 12:53:16] ✓ 저장 완료: 20231106825-00_통합.xlsx
[2025-10-26 12:53:16] 
[43/400] 처리 중: 20231106978-00
[2025-10-26 12:53:16] ✓ 저장 완료: 20231106978-00_통합.xlsx
[2025-10-26 12:53:16] 
[44/400] 처리 중: 20231107013-00
[2025-10-26 12:53:17] 이상치 발견 - 기초대비사정률: 6.29895
